jugador,posicion,club,pais_club,partidos_jugados,goles,imagen
Emiliano Martínez,Arquero,Aston Villa,Inglaterra,7,0,images/2022/emilianomartinez
Gerónimo Rulli,Arquero,Villarreal,España,0,0,images/2022/geronimorulli
Franco Armani,Arquero,River Plate,Argentina,0,0,images/2022/francoarmani
Gonzalo Montiel,Defensor,Sevilla,España,4,0,images/2022/gonzalomontiel
Nicolás Otamendi,Defensor,Benfica,Portugal,7,0,images/2022/nicolasotamendi
Nahuel Molina Lucero,Defensor,Atlético Madrid,España,7,1,images/2022/nahuelmolina
Cristian Romero,Defensor,Tottenham,Inglaterra,7,0,images/2022/cristianromero
Germán Pezzella,Defensor,Betis,España,3,0,images/2022/germanpezzella
Lisandro Martínez,Defensor,Manchester United,Inglaterra,5,0,images/2022/lisandromartinez
Marcos Acuña,Defensor,Sevilla,España,6,0,images/2022/marcosacuna
Nicolás Tagliafico,Defensor,Lyon,Francia,6,0,images/2022/nicolastagliafico
Juan Foyth,Defensor,Villarreal,España,1,0,images/2022/juanfoyth
Leandro Paredes,Mediocampista,Juventus,Italia,5,0,images/2022/leandroparedes
Guido Rodriguez,Mediocampista,Betis,España,1,0,images/2022/guidorodriguez
Rodrigo De Paul,Mediocampista,Atlético Madrid,España,7,0,images/2022/rodrigodepaul
Exequiel Palacios,Mediocampista,Bayer Leverkusen,Alemania,3,0,images/2022/exequielpalacios
Alexis MacAllister,Mediocampista,Brighton,Inglaterra,6,1,images/2022/alexismacallister
Enzo Fernández,Mediocampista,Benfica,Portugal,7,1,images/2022/enzofernandez
Ángel Di María,Mediocampista,Juventus,Italia,5,1,images/2022/angeldimaria
Alejandro Gómez,Mediocampista,Sevilla,España,2,0,images/2022/alejandrogomez
Thiago Almada,Mediocampista,Atlanta United,Estados Unidos,1,0,images/2022/thiagoalmada
Ángel Correa,Delantero,Atlético de Madrid,España,1,0,images/2022/angelcorrea
Julián Álvarez,Delantero,Manchester City,Inglaterra,7,4,images/2022/julianalvarez
Lautaro Martínez,Delantero,Inter,Italia,6,0,images/2022/lautaromartinez
Lionel Messi,Delantero,Paris Saint-Germain,Francia,7,7,images/2022/lionelmessi
Paulo Dybala,Delantero,Roma,Italia,2,0,images/2022/paulodybala
Lionel Scaloni,Entrenador,,,,,images/2022/lionelscaloni
