nombre,anio,posicion,club,pais_club,numero_camiseta,minutos_jugados,goles,imagen
Emiliano Martínez,2022,Arquero,Aston Villa,Inglaterra,23,660,0,images/2022/emilianomartinez.png
Gerónimo Rulli,2022,Arquero,Villarreal,España,12,0,0,images/2022/geronimorulli.png
Franco Armani,2022,Arquero,River Plate,Argentina,1,0,0,images/2022/francoarmani.png
Gonzalo Montiel,2022,Defensor,Sevilla,España,4,88,0,images/2022/gonzalomontiel.png
Nicolás Otamendi,2022,Defensor,Benfica,Portugal,19,660,0,images/2022/nicolasotamendi.png
Nahuel Molina Lucero,2022,Defensor,Atlético Madrid,España,26,552,1,images/2022/nahuelmolina.png
Cristian Romero,2022,Defensor,Tottenham,Inglaterra,13,546,0,images/2022/cristianromero.png
Germán Pezzella,2022,Defensor,Betis,España,6,31,0,images/2022/germanpezzella.png
Lisandro Martínez,2022,Defensor,Manchester United,Inglaterra,25,284,0,images/2022/lisandromartinez.png
Marcos Acuña,2022,Defensor,Sevilla,España,8,371,0,images/2022/marcosacuna.png
Nicolás Tagliafico,2022,Defensor,Lyon,Francia,3,346,0,images/2022/nicolastagliafico.png
Juan Foyth,2022,Defensor,Villarreal,España,2,5,0,images/2022/juanfoyth.png
Leandro Paredes,2022,Mediocampista,Juventus,Italia,5,194,0,images/2022/leandroparedes.png
Guido Rodriguez,2022,Mediocampista,Betis,España,18,56,0,images/2022/guidorodriguez.png
Rodrigo De Paul,2022,Mediocampista,Atlético Madrid,España,7,599,0,images/2022/rodrigodepaul.png
Exequiel Palacios,2022,Mediocampista,Bayer Leverkusen,Alemania,14,52,0,images/2022/exequielpalacios.png
Alexis MacAllister,2022,Mediocampista,Brighton,Inglaterra,20,516,1,images/2022/alexismacallister.png
Enzo Fernández,2022,Mediocampista,Benfica,Portugal,24,533,1,images/2022/enzofernandez.png
Ángel Di María,2022,Mediocampista,Juventus,Italia,11,258,1,images/2022/angeldimaria.png
Alejandro Gómez,2022,Mediocampista,Sevilla,España,17,106,0,images/2022/alejandrogomez.png
Thiago Almada,2022,Mediocampista,Atlanta United,Estados Unidos,16,9,0,images/2022/thiagoalmada.png
Ángel Correa,2022,Delantero,Atlético de Madrid,España,15,5,0,images/2022/angelcorrea.png
Julián Álvarez,2022,Delantero,Manchester City,Inglaterra,9,463,4,images/2022/julianalvarez.png
Lautaro Martínez,2022,Delantero,Inter,Italia,22,214,0,images/2022/lautaromartinez.png
Lionel Messi,2022,Delantero,Paris Saint-Germain,Francia,10,660,7,images/2022/lionelmessi.png
