año,nombre,posicion,club,pais,partidos_jugados,goles,debut_mundialista,cantidad_mundiales,imagen,,
2022,Emiliano Martínez,Arquero,Aston Villa,Inglaterra,7,0,si,1,images/2022/emilianomartinez.png,,
2022,Gerónimo Rulli,Arquero,Villarreal,España,0,0,si,1,images/2022/geronimorulli.png,,
2022,Franco Armani,Arquero,River Plate,Argentina,0,0,no,2,images/2022/francoarmani.png,,
2022,Gonzalo Montiel,Defensor,Sevilla,España,4,0,si,1,images/2022/gonzalomontiel.png,,
2022,Nicolás Otamendi,Defensor,Benfica,Portugal,7,0,no,3,images/2022/nicolasotamendi.png,,
2022,Nahuel Molina Lucero,Defensor,Atlético Madrid,España,7,1,si,1,images/2022/nahuelmolina.png,,
2022,Cristian Romero,Defensor,Tottenham,Inglaterra,7,0,si,1,images/2022/cristianromero.png,,
2022,Germán Pezzella,Defensor,Betis,España,3,0,si,1,images/2022/germanpezzella.png,,
2022,Lisandro Martínez,Defensor,Manchester United,Inglaterra,5,0,si,1,images/2022/lisandromartinez.png,,
2022,Marcos Acuña,Defensor,Sevilla,España,6,0,no,2,images/2022/marcosacuna.png,,
2022,Nicolás Tagliafico,Defensor,Lyon,Francia,6,0,no,2,images/2022/nicolastagliafico.png,,
2022,Juan Foyth,Defensor,Villarreal,España,1,0,si,1,images/2022/juanfoyth.png,,
2022,Leandro Paredes,Mediocampista,Juventus,Italia,5,0,si,1,images/2022/leandroparedes.png,,
2022,Guido Rodriguez,Mediocampista,Betis,España,1,0,si,1,images/2022/guidorodriguez.png,,
2022,Rodrigo De Paul,Mediocampista,Atlético Madrid,España,7,0,si,1,images/2022/rodrigodepaul.png,,
2022,Exequiel Palacios,Mediocampista,Bayer Leverkusen,Alemania,3,0,si,1,images/2022/exequielpalacios.png,,
2022,Alexis MacAllister,Mediocampista,Brighton,Inglaterra,6,1,si,1,images/2022/alexismacallister.png,,
2022,Enzo Fernández,Mediocampista,Benfica,Portugal,7,1,si,1,images/2022/enzofernandez.png,,
2022,Ángel Di María,Mediocampista,Juventus,Italia,5,1,no,4,images/2022/angeldimaria.png,,
2022,Alejandro Gómez,Mediocampista,Sevilla,España,2,0,si,1,images/2022/alejandrogomez.png,,
2022,Thiago Almada,Mediocampista,Atlanta United,Estados Unidos,1,0,si,1,images/2022/thiagoalmada.png,,
2022,Ángel Correa,Delantero,Atlético de Madrid,España,1,0,si,1,images/2022/angelcorrea.png,,
2022,Julián Álvarez,Delantero,Manchester City,Inglaterra,7,4,si,1,images/2022/julianalvarez.png,,
2022,Lautaro Martínez,Delantero,Inter,Italia,6,0,si,1,images/2022/lautaromartinez.png,,
2022,Lionel Messi,Delantero,Paris Saint-Germain,Francia,7,7,no,5,images/2022/lionelmessi.png,,
